               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 140,            0.033492,            0.021359,           0.0049965,             0.77046,             0.62232,             0.67912,             0.41653,            0.030722,             0.01515,           0.0058416,           0.0031195,           0.0031195,           0.0031195
                 141,             0.03349,            0.021568,           0.0050284,             0.77481,             0.61939,              0.6793,              0.4172,            0.030709,            0.015146,           0.0058209,             0.00307,             0.00307,             0.00307
                 142,            0.033474,            0.021176,           0.0051927,             0.78114,             0.61397,             0.67909,             0.41712,             0.03069,            0.015139,           0.0058372,           0.0030205,           0.0030205,           0.0030205
                 143,            0.033131,            0.021213,           0.0048289,             0.77762,             0.61749,             0.68113,             0.41735,            0.030674,            0.015137,           0.0058043,            0.002971,            0.002971,            0.002971
                 144,             0.03317,            0.021281,           0.0049379,             0.77368,             0.61879,             0.68109,             0.41771,            0.030659,            0.015141,            0.005792,           0.0029215,           0.0029215,           0.0029215
                 145,            0.033274,            0.021171,           0.0048497,             0.77539,             0.62029,             0.68215,             0.41796,            0.030651,            0.015135,           0.0057918,            0.002872,            0.002872,            0.002872
                 146,            0.033032,            0.020988,           0.0050398,             0.77295,             0.62125,             0.68184,             0.41824,            0.030648,            0.015134,           0.0058186,           0.0028225,           0.0028225,           0.0028225
                 147,            0.033104,            0.021065,            0.004981,              0.7671,             0.62365,             0.68033,             0.41772,            0.030646,            0.015129,           0.0058082,            0.002773,            0.002773,            0.002773
                 148,            0.032827,            0.021089,           0.0046697,             0.76148,             0.62528,             0.68075,             0.41854,             0.03065,            0.015129,           0.0058346,           0.0027235,           0.0027235,           0.0027235
                 149,            0.033121,            0.021237,            0.004808,             0.76607,             0.62458,             0.68136,             0.41892,            0.030637,            0.015119,           0.0058456,            0.002674,            0.002674,            0.002674
                 150,            0.033186,            0.021036,           0.0049399,             0.76707,             0.62558,             0.68293,             0.41893,            0.030622,            0.015108,           0.0058542,           0.0026245,           0.0026245,           0.0026245
